00019024	00139	tx	[0x3F]
00019087	00140	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00019222	00141	tx	[0x3F]
00019281	00142	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00019423	00143	tx	[0x3F]
00019487	00144	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00019622	00145	tx	[0x3F]
00019683	00146	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00019823	00147	tx	[0x3F]
00019885	00148	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00020023	00149	tx	[0x3F]
00020083	00150	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00020222	00151	tx	[0x3F]
00020305	00152	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00020422	00153	tx	[0x3F]
00020504	00154	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00020622	00155	tx	[0x3F]
00020693	00156	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00020822	00157	tx	[0x3F]
00020881	00158	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00021022	00159	tx	[0x3F]
00021082	00160	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00021222	00161	tx	[0x3F]
00021282	00162	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00021423	00163	tx	[0x3F]
00021494	00164	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00021623	00165	tx	[0x3F]
00021685	00166	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00021822	00167	tx	[0x3F]
00021883	00168	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00022023	00169	tx	[0x3F]
00022083	00170	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00022222	00171	tx	[0x3F]
